;Al;C;Co;Cr;Cu;Fe;Hf;Mn;Mo;Nb;Ni;Re;Ru;Si;Ta;Ti;V;W;Zr;UTS (MPa);Elongation (%);Mass price (USD/kg);Supply risk;Normalized vulnerability to supply restriction;Embodied energy (MJ/kg);Rock to metal ratio (kg/kg);Water usage (l/kg);Human health damage;Human rights pressure;Labor rights pressure;Class
Al0.304 Co1 Cr1 Fe1 Ni1;0.035100152323215006;0.0;0.2521911918374637;0.22253422663411018;0.0;0.23901031841375103;0.0;0.0;0.0;0.0;0.2511641107914601;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;410.0;65.0;12.71083128501658;0.29040025841190376;0.11201532931843627;215.68399420966185;285.8256714976465;356.48611835899607;18.817731812251978;37.500520980509144;50.00885865010475;FCC HEAs
Al0.304 Co1 Cr1 Fe1 Ni1;0.035100152323215006;0.0;0.2521911918374637;0.22253422663411018;0.0;0.23901031841375103;0.0;0.0;0.0;0.0;0.2511641107914601;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;589.0;60.0;12.71083128501658;0.29040025841190376;0.11201532931843627;215.68399420966185;285.8256714976465;356.48611835899607;18.817731812251978;37.500520980509144;50.00885865010475;FCC HEAs
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571;0.0;0.0;0.3385185515452061;0.12814647635230217;0.0;0.18319149985465105;0.0;0.0;0.1576365944238573;0.0;0.19250687782398337;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;720.0;21.9;17.686435723889023;0.3616051263545662;0.11905437560914248;171.75167599515973;1048.7661851363941;367.1314632144151;25.26543772215169;40.426413849717875;56.3103899114142;FCC HEAs
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571;0.0;0.0;0.3385185515452061;0.12814647635230217;0.0;0.18319149985465105;0.0;0.0;0.1576365944238573;0.0;0.19250687782398337;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;918.0;62.4;17.686435723889023;0.3616051263545662;0.11905437560914248;171.75167599515973;1048.7661851363941;367.1314632144151;25.26543772215169;40.426413849717875;56.3103899114142;FCC HEAs
Co1 Cr1 Fe1 Ni1;0.0;0.0;0.2613651483567659;0.23062935202022442;0.0;0.24770479442941412;0.0;0.0;0.0;0.0;0.2603007051935956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;472.4;58.9;13.11682873553023;0.2997235559265562;0.11526771129208953;216.27271920876396;295.9685102230894;332.7314387723422;18.857675312474328;37.07673856469349;50.587517541908845;FCC HEAs
Co1 Cr1 Fe1 Mn1 Ni1;0.0;0.0;0.21015655647088194;0.1854427445526194;0.0;0.19917264006276528;0.0;0.1959273920330944;0.0;0.0;0.20930066688063906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;558.0;50.0;10.863305427766488;0.33102897091214456;0.11742468879311561;185.3901109090261;255.0831577294145;315.2485556863165;16.34706868888628;34.19055549253736;49.34349137837732;FCC HEAs
Co1 Cr1 Fe1 Mn1 Ni1;0.0;0.0;0.21015655647088194;0.1854427445526194;0.0;0.19917264006276528;0.0;0.1959273920330944;0.0;0.0;0.20930066688063906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;621.0;41.0;10.863305427766488;0.33102897091214456;0.11742468879311561;185.3901109090261;255.0831577294145;315.2485556863165;16.34706868888628;34.19055549253736;49.34349137837732;FCC HEAs
Co1 Cr1 Fe1 Ni1;0.0;0.0;0.2613651483567659;0.23062935202022442;0.0;0.24770479442941412;0.0;0.0;0.0;0.0;0.2603007051935956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;453.0;70.0;13.11682873553023;0.2997235559265562;0.11526771129208953;216.27271920876396;295.9685102230894;332.7314387723422;18.857675312474328;37.07673856469349;50.587517541908845;FCC HEAs
Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083;0.01925916561279009;0.0;0.2518926463759002;0.22227078926772123;0.0;0.2387273765500429;0.0;0.0;0.0;0.0;0.2508667811946646;0.0;0.0;0.0;0.0;0.01698324099888101;0.0;0.0;0.0;503.0;70.0;12.901417917276152;0.2900957954037453;0.11193243563957074;222.2543330067824;287.05805414951243;341.98273487185713;18.78775858886463;37.427681449136934;50.18178736805972;FCC HEAs
Al0.108 Co0.514 Cr0.514 Cu0.108 Fe0.514 Ni1;0.018897458952394693;0.0;0.19644332120422797;0.17334214665908462;0.044511990972004555;0.1861761325174976;0.0;0.0;0.0;0.0;0.38062894969479055;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;732.0;32.0;12.19912715116937;0.24463058967712858;0.10715851042643673;199.84048864390013;291.66472775195547;325.2462879742563;23.196376081825946;35.45471675522683;52.55948092514918;FCC HEAs
Al0.108 Co0.514 Cr0.514 Cu0.108 Fe0.514 Ni1;0.018897458952394693;0.0;0.19644332120422797;0.17334214665908462;0.044511990972004555;0.1861761325174976;0.0;0.0;0.0;0.0;0.38062894969479055;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1048.0;30.0;12.19912715116937;0.24463058967712858;0.10715851042643673;199.84048864390013;291.66472775195547;325.2462879742563;23.196376081825946;35.45471675522683;52.55948092514918;FCC HEAs
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1;0.0445935671548048;0.0;0.1948034775709894;0.17189514396218306;0.21007569997686024;0.18462199596707546;0.0;0.0;0.0;0.0;0.194010115368087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1400.0;5.0;11.105949803312289;0.2835860113866382;0.10536451251218767;182.48558725331398;328.6754156887374;358.6608293940696;24.51392483461403;35.32155771516891;48.379927738791686;FCC HEAs
Co1 Cr1 Fe1 Mn1 Ni1;0.0;0.0;0.21015655647088194;0.1854427445526194;0.0;0.19917264006276528;0.0;0.1959273920330944;0.0;0.0;0.20930066688063906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;496.0;62.0;10.863305427766488;0.33102897091214456;0.11742468879311561;185.3901109090261;255.0831577294145;315.2485556863165;16.34706868888628;34.19055549253736;49.34349137837732;FCC HEAs
Al0.304 Co1 Cr1 Fe1 Ni1;0.035100152323215006;0.0;0.2521911918374637;0.22253422663411018;0.0;0.23901031841375103;0.0;0.0;0.0;0.0;0.2511641107914601;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500.0;58.0;12.71083128501658;0.29040025841190376;0.11201532931843627;215.68399420966185;285.8256714976465;356.48611835899607;18.817731812251978;37.500520980509144;50.00885865010475;FCC HEAs
Co1 Cr1 Fe1 Ni1 Ti0.2;0.0;0.0;0.25071901422642895;0.22123517291319036;0.0;0.23761508475387846;0.0;0.0;0.0;0.0;0.2496979288129835;0.0;0.0;0.0;0.0;0.040732799293518675;0.0;0.0;0.0;1240.0;36.0;13.134473013705595;0.288898382977411;0.11154844589139513;231.3938455295121;287.9454314290289;323.65896378047177;18.74255143744517;37.360751130009305;50.37591820377852;FCC HEAs
Al0.1 Co1 Cr1 Fe1 Ni1;0.01182462050301093;0.0;0.25827460466473395;0.22790224745572993;0.0;0.24477577923850996;0.0;0.0;0.0;0.0;0.25722274813801516;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;928.0;30.3;12.980055375309263;0.29658957857398915;0.1141720413298869;216.07438816931673;292.55156725238095;340.73397017722795;18.844219053728153;37.219503365162886;50.3925775959716;FCC HEAs
Al0.25 Cr0.417 Fe0.417 Ni1;0.06109133847999355;0.0;0.0;0.19639801109241273;0.0;0.21093901768290868;0.0;0.0;0.0;0.0;0.531571632744685;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;757.0;45.0;8.134368815204782;0.1419156628610344;0.09897765898009098;219.6251471379987;138.75416291434075;286.027763310209;23.382750625024013;32.52184491954703;47.84919633871632;FCC HEAs
Co1 Cr1 Fe1 Mn1 Ni1;0.0;0.0;0.21015655647088194;0.1854427445526194;0.0;0.19917264006276528;0.0;0.1959273920330944;0.0;0.0;0.20930066688063906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;676.0;52.0;10.863305427766488;0.33102897091214456;0.11742468879311561;185.3901109090261;255.0831577294145;315.2485556863165;16.34706868888628;34.19055549253736;49.34349137837732;FCC HEAs
Co1 Cr1 Fe1 Mn1 Ni1;0.0;0.0;0.21015655647088194;0.1854427445526194;0.0;0.19917264006276528;0.0;0.1959273920330944;0.0;0.0;0.20930066688063906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0;39.5;10.863305427766488;0.33102897091214456;0.11742468879311561;185.3901109090261;255.0831577294145;315.2485556863165;16.34706868888628;34.19055549253736;49.34349137837732;FCC HEAs
Co1 Cr1 Fe1 Mn1 Ni1;0.0;0.0;0.21015655647088194;0.1854427445526194;0.0;0.19917264006276528;0.0;0.1959273920330944;0.0;0.0;0.20930066688063906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;700.1;54.0;10.863305427766488;0.33102897091214456;0.11742468879311561;185.3901109090261;255.0831577294145;315.2485556863165;16.34706868888628;34.19055549253736;49.34349137837732;FCC HEAs
C0.5 Co1 Cr1 Fe1 Mn1 Ni1;0.0;0.02096608068711485;0.2057503971509872;0.1815547370074891;0.0;0.19499677042054359;0.0;0.19181956252291252;0.0;0.0;0.2049124522109526;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;791.4;40.3;10.63810235148299;0.32520031309579456;0.11517241410009092;186.11574463627952;250.7506097222479;314.13214217132474;16.49187718931016;35.30164625353469;49.46891180735274;FCC HEAs
C1 Co1 Cr1 Fe1 Mn1 Ni1;0.0;0.041071062170850145;0.20152520347445455;0.17782641406196567;0.0;0.19099240818001503;0.0;0.18788044593393063;0.0;0.0;0.20070446617878393;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;887.6;31.9;10.422148604746601;0.31957998349962913;0.11301264272100932;186.81157581560777;246.59600406364183;313.0615809452158;16.630738250810264;36.36710333680965;49.58918108609223;FCC HEAs
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1;0.0;0.0;0.3369107344496654;0.17480710384026277;0.0;0.056197145474042975;0.0;0.0;0.0965463940597032;0.0;0.3355386221763255;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1300.0;32.0;18.00747980397461;0.3536086613913094;0.11704708557987044;212.43070961395873;809.2780312140858;393.0147500364189;27.35266467748868;39.29216108492684;58.83052663934951;FCC HEAs
Co1 Cr1 Fe1 Mn1 Ni1;0.0;0.0;0.21015655647088194;0.1854427445526194;0.0;0.19917264006276528;0.0;0.1959273920330944;0.0;0.0;0.20930066688063906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;666.3;57.5;10.863305427766488;0.33102897091214456;0.11742468879311561;185.3901109090261;255.0831577294145;315.2485556863165;16.34706868888628;34.19055549253736;49.34349137837732;FCC HEAs
Al0.3 Co1 Cr1 Fe1 Ni1;0.03465431316470004;0.0;0.2523077186552722;0.22263705023034372;0.0;0.23912075491085955;0.0;0.0;0.0;0.0;0.25128016303882444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;410.0;65.0;12.715988230206714;0.2905190681809019;0.11205664079848202;215.69147214467986;285.95450497508165;356.18438843314885;18.818239171204812;37.4951381321978;50.01620872628143;FCC HEAs
Co0.5 Cr0.5 Fe1 Ni1;0.0;0.0;0.17331843216114629;0.1529366786421111;0.0;0.32851974909759096;0.0;0.0;0.0;0.0;0.3452251400991515;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;612.0;77.3;10.716785545268747;0.21065862539101932;0.10810859742794145;176.2506398463065;240.89635620864874;267.76033083701714;19.06558034319095;35.09173164791693;50.27757400057572;FCC HEAs
Co0.875 Cr0.625 Fe1 Ni1;0.0;0.0;0.25963130076854335;0.16364242893949527;0.0;0.2812132197992495;0.0;0.0;0.0;0.0;0.29551305049271176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;721.0;96.2;12.787599990068864;0.2635658976728191;0.1113468291534907;184.0304124207864;302.37803268246074;309.54786537731985;19.219195684698956;36.804568427128345;52.41471920663885;FCC HEAs
Co1 Cr0.556 Fe0.667 Ni0.667;0.0;0.0;0.3588037954975587;0.1760348774676833;0.0;0.2268138651553277;0.0;0.0;0.0;0.0;0.2383474618794303;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;841.0;76.1;15.167336862730684;0.3237330519308582;0.11507281350078437;193.0133294436634;373.00927838307655;357.59193667284296;19.395197416595398;38.772924615205824;54.86770718619798;FCC HEAs
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1;0.0;0.0;0.21630744646585495;0.1842885728085502;0.0;0.19398267133114802;0.0;0.18693600841122426;0.0;0.0;0.21848530098322247;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;630.0;46.2;11.116014087623087;0.3295778670903595;0.11715939745371347;186.390167568968;261.8105658727139;317.94326325672216;16.729560996979703;34.36356309368076;49.81715911010821;FCC HEAs
Co1 Cr1 Fe1 Mn1 Ni1;0.0;0.0;0.21015655647088194;0.1854427445526194;0.0;0.19917264006276528;0.0;0.1959273920330944;0.0;0.0;0.20930066688063906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;625.6;63.0;10.863305427766488;0.33102897091214456;0.11742468879311561;185.3901109090261;255.0831577294145;315.2485556863165;16.34706868888628;34.19055549253736;49.34349137837732;FCC HEAs
Co1 Fe1 Ni1;0.0;0.0;0.3397129186602871;0.0;0.0;0.32195768720816276;0.0;0.0;0.0;0.0;0.3383293941315501;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;540.0;51.0;13.96121159278262;0.22663621598039407;0.104327938239185;107.84002997636483;379.2933648469474;290.2343777021963;20.3095246992271;37.77567824079315;59.25903638260027;FCC HEAs
Co1 Fe1 Ni1;0.0;0.0;0.3397129186602871;0.0;0.0;0.32195768720816276;0.0;0.0;0.0;0.0;0.3383293941315501;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;498.0;47.0;13.96121159278262;0.22663621598039407;0.104327938239185;107.84002997636483;379.2933648469474;290.2343777021963;20.3095246992271;37.77567824079315;59.25903638260027;FCC HEAs
Co1 Fe1 Ni1;0.0;0.0;0.3397129186602871;0.0;0.0;0.32195768720816276;0.0;0.0;0.0;0.0;0.3383293941315501;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;430.0;44.5;13.96121159278262;0.22663621598039407;0.104327938239185;107.84002997636483;379.2933648469474;290.2343777021963;20.3095246992271;37.77567824079315;59.25903638260027;FCC HEAs
Fe1 Mn1 Ni1;0.0;0.0;0.0;0.0;0.0;0.32953740854378094;0.0;0.324168043426953;0.0;0.0;0.34629454802926596;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;613.0;25.0;4.57334774014633;0.19920443171780888;0.10447391701800843;84.88435803634648;117.83690263691965;173.46071807882936;15.120895671542609;28.319145930035376;47.90742974143772;FCC HEAs
Fe1 Mn1 Ni1;0.0;0.0;0.0;0.0;0.0;0.32953740854378094;0.0;0.324168043426953;0.0;0.0;0.34629454802926596;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;601.0;25.0;4.57334774014633;0.19920443171780888;0.10447391701800843;84.88435803634648;117.83690263691965;173.46071807882936;15.120895671542609;28.319145930035376;47.90742974143772;FCC HEAs
Fe1 Mn1 Ni1;0.0;0.0;0.0;0.0;0.0;0.32953740854378094;0.0;0.324168043426953;0.0;0.0;0.34629454802926596;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;599.0;27.0;4.57334774014633;0.19920443171780888;0.10447391701800843;84.88435803634648;117.83690263691965;173.46071807882936;15.120895671542609;28.319145930035376;47.90742974143772;FCC HEAs
Fe1 Mn1 Ni1;0.0;0.0;0.0;0.0;0.0;0.32953740854378094;0.0;0.324168043426953;0.0;0.0;0.34629454802926596;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;536.0;26.0;4.57334774014633;0.19920443171780888;0.10447391701800843;84.88435803634648;117.83690263691965;173.46071807882936;15.120895671542609;28.319145930035376;47.90742974143772;FCC HEAs
Fe1 Mn1 Ni1;0.0;0.0;0.0;0.0;0.0;0.32953740854378094;0.0;0.324168043426953;0.0;0.0;0.34629454802926596;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;542.0;31.0;4.57334774014633;0.19920443171780888;0.10447391701800843;84.88435803634648;117.83690263691965;173.46071807882936;15.120895671542609;28.319145930035376;47.90742974143772;FCC HEAs
Fe1 Mn1 Ni1;0.0;0.0;0.0;0.0;0.0;0.32953740854378094;0.0;0.324168043426953;0.0;0.0;0.34629454802926596;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;554.0;49.0;4.57334774014633;0.19920443171780888;0.10447391701800843;84.88435803634648;117.83690263691965;173.46071807882936;15.120895671542609;28.319145930035376;47.90742974143772;FCC HEAs
Co1 Mn1 Ni1;0.0;0.0;0.3415044042651831;0.0;0.0;0.0;0.0;0.31838201205377836;0.0;0.0;0.34011358368103844;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;569.0;40.0;14.329746754751973;0.36508964750852546;0.11243976017375941;119.184637227631;406.1730311712165;353.9982324988409;21.62115845318652;34.49233127075414;62.66598647554799;FCC HEAs
Co1 Mn1 Ni1;0.0;0.0;0.3415044042651831;0.0;0.0;0.0;0.0;0.31838201205377836;0.0;0.0;0.34011358368103844;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;608.0;24.0;14.329746754751973;0.36508964750852546;0.11243976017375941;119.184637227631;406.1730311712165;353.9982324988409;21.62115845318652;34.49233127075414;62.66598647554799;FCC HEAs
Co1 Mn1 Ni1;0.0;0.0;0.3415044042651831;0.0;0.0;0.0;0.0;0.31838201205377836;0.0;0.0;0.34011358368103844;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;566.0;50.5;14.329746754751973;0.36508964750852546;0.11243976017375941;119.184637227631;406.1730311712165;353.9982324988409;21.62115845318652;34.49233127075414;62.66598647554799;FCC HEAs
Co1 Mn1 Ni1;0.0;0.0;0.3415044042651831;0.0;0.0;0.0;0.0;0.31838201205377836;0.0;0.0;0.34011358368103844;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;506.0;62.5;14.329746754751973;0.36508964750852546;0.11243976017375941;119.184637227631;406.1730311712165;353.9982324988409;21.62115845318652;34.49233127075414;62.66598647554799;FCC HEAs
Co1 Cr0.25 Ni1;0.0;0.0;0.45115602511100905;0.09952534068289697;0.0;0.0;0.0;0.0;0.0;0.0;0.449318634206094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;824.0;36.0;19.276626856530402;0.3383800028412791;0.11053337736030325;190.30983004134137;501.6641402541722;412.46780738018674;27.41611028262913;39.626409413092496;66.33576346428643;FCC HEAs
Co1 Cr0.25 Ni1;0.0;0.0;0.45115602511100905;0.09952534068289697;0.0;0.0;0.0;0.0;0.0;0.0;0.449318634206094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;746.0;53.0;19.276626856530402;0.3383800028412791;0.11053337736030325;190.30983004134137;501.6641402541722;412.46780738018674;27.41611028262913;39.626409413092496;66.33576346428643;FCC HEAs
Co1 Cr0.25 Ni1;0.0;0.0;0.45115602511100905;0.09952534068289697;0.0;0.0;0.0;0.0;0.0;0.0;0.449318634206094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;626.0;73.0;19.276626856530402;0.3383800028412791;0.11053337736030325;190.30983004134137;501.6641402541722;412.46780738018674;27.41611028262913;39.626409413092496;66.33576346428643;FCC HEAs
Co1 Cr0.25 Ni1;0.0;0.0;0.45115602511100905;0.09952534068289697;0.0;0.0;0.0;0.0;0.0;0.0;0.449318634206094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;553.0;101.0;19.276626856530402;0.3383800028412791;0.11053337736030325;190.30983004134137;501.6641402541722;412.46780738018674;27.41611028262913;39.626409413092496;66.33576346428643;FCC HEAs
Co1 Cr1 Fe1 Ni1;0.0;0.0;0.2613651483567659;0.23062935202022442;0.0;0.24770479442941412;0.0;0.0;0.0;0.0;0.2603007051935956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;732.0;39.0;13.11682873553023;0.2997235559265562;0.11526771129208953;216.27271920876396;295.9685102230894;332.7314387723422;18.857675312474328;37.07673856469349;50.587517541908845;FCC HEAs
Co1 Cr1 Fe1 Ni1;0.0;0.0;0.2613651483567659;0.23062935202022442;0.0;0.24770479442941412;0.0;0.0;0.0;0.0;0.2603007051935956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;732.0;51.0;13.11682873553023;0.2997235559265562;0.11526771129208953;216.27271920876396;295.9685102230894;332.7314387723422;18.857675312474328;37.07673856469349;50.587517541908845;FCC HEAs
Co1 Cr1 Fe1 Ni1;0.0;0.0;0.2613651483567659;0.23062935202022442;0.0;0.24770479442941412;0.0;0.0;0.0;0.0;0.2603007051935956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;672.0;65.0;13.11682873553023;0.2997235559265562;0.11526771129208953;216.27271920876396;295.9685102230894;332.7314387723422;18.857675312474328;37.07673856469349;50.587517541908845;FCC HEAs
Co1 Cr1 Fe1 Ni1;0.0;0.0;0.2613651483567659;0.23062935202022442;0.0;0.24770479442941412;0.0;0.0;0.0;0.0;0.2603007051935956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;567.0;85.0;13.11682873553023;0.2997235559265562;0.11526771129208953;216.27271920876396;295.9685102230894;332.7314387723422;18.857675312474328;37.07673856469349;50.587517541908845;FCC HEAs
Co1 Cr1 Fe1 Ni1;0.0;0.0;0.2613651483567659;0.23062935202022442;0.0;0.24770479442941412;0.0;0.0;0.0;0.0;0.2603007051935956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;504.0;105.0;13.11682873553023;0.2997235559265562;0.11526771129208953;216.27271920876396;295.9685102230894;332.7314387723422;18.857675312474328;37.07673856469349;50.587517541908845;FCC HEAs
Co0.25 Cr1 Ni1;0.0;0.0;0.11746297514401324;0.41459865654089184;0.0;0.0;0.0;0.0;0.0;0.0;0.467938368315095;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;744.0;36.0;12.90036975024418;0.33176110993003405;0.11847732051759224;332.8189918076901;225.3480635452171;371.83919352588254;25.181434195075354;34.246136036873125;48.36802259090617;FCC HEAs
Co0.25 Cr1 Ni1;0.0;0.0;0.11746297514401324;0.41459865654089184;0.0;0.0;0.0;0.0;0.0;0.0;0.467938368315095;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;703.0;46.0;12.90036975024418;0.33176110993003405;0.11847732051759224;332.8189918076901;225.3480635452171;371.83919352588254;25.181434195075354;34.246136036873125;48.36802259090617;FCC HEAs
Co0.25 Cr1 Ni1;0.0;0.0;0.11746297514401324;0.41459865654089184;0.0;0.0;0.0;0.0;0.0;0.0;0.467938368315095;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;644.0;58.0;12.90036975024418;0.33176110993003405;0.11847732051759224;332.8189918076901;225.3480635452171;371.83919352588254;25.181434195075354;34.246136036873125;48.36802259090617;FCC HEAs
